,Litter,Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2,Vox_data
123,1,l,ELS,Male,10,0,50,66.66666667,66.66666667,75,50,16.66666667,16.66666667,8.333333333,63.63636364,16.66666667,
124,1,l,ELS,Male,10,0,83.33333333,50,58.33333333,66.66666667,8.333333333,0,0,16.66666667,9.090909091,16.66666667,
125,2,h,NS,Male,2,8.333333333,33.33333333,0,,,,,,8.333333333,0,8.333333333,
126,2,h,NS,Male,2,0,83.33333333,58.33333333,,,,,,16.66666667,25,25,
127,2,h,ELS,Male,2,0,66.66666667,16.66666667,,,,,,8.333333333,33.33333333,8.333333333,
128,2,h,ELS,Male,2,0,83.33333333,91.66666667,,,,,,41.66666667,25,16.66666667,
129,2,l,NS,Female,10,0,100,8.333333333,8.333333333,0,16.66666667,16.66666667,8.333333333,8.333333333,0,0,
130,2,h,ELS,Male,10,0,50,66.66666667,66.66666667,41.66666667,33.33333333,50,41.66666667,33.33333333,33.33333333,25,
131,2,h,ELS,Male,10,0,83.33333333,25,33.33333333,33.33333333,8.333333333,8.333333333,0,0,16.66666667,8.333333333,
132,2,l,NS,Female,2,0,33.33333333,25,,,,,,8.333333333,0,16.66666667,
133,2,l,NS,Female,2,0,66.66666667,0,,,,,,8.333333333,0,0,
134,2,l,ELS,Female,2,0,100,0,,,,,,8.333333333,0,0,
135,2,l,ELS,Female,2,0,50,16.66666667,,,,,,25,8.333333333,8.333333333,
136,2,l,ELS,Female,2,0,50,16.66666667,,,,,,8.333333333,0,0,
137,2,h,NS,Male,10,0,66.66666667,91.66666667,91.66666667,75,50,25,25,33.33333333,58.33333333,16.66666667,
138,3,h,NS,Male,10,8.333333333,100,50,50,33.33333333,50,16.66666667,8.333333333,8.333333333,16.66666667,41.66666667,
139,3,l,ELS,Female,10,0,100,58.33333333,58.33333333,66.66666667,25,25,16.66666667,41.66666667,50,25,
140,2,l,ELS,Female,10,16.66666667,83.33333333,66.66666667,75,41.66666667,58.33333333,25,8.333333333,16.66666667,41.66666667,16.66666667,
141,2,h,ELS,Male,2,0,100,91.66666667,,,,,,83.33333333,58.33333333,66.66666667,
142,3,h,ELS,Male,2,0,100,75,,,,,,33.33333333,25,41.66666667,
143,3,h,NS,Male,2,8.333333333,66.66666667,41.66666667,,,,,,25,25,0,
144,3,h,NS,Male,2,8.333333333,83.33333333,25,,,,,,8.333333333,0,9.090909091,
145,3,l,ELS,Female,2,0,83.33333333,16.66666667,,,,,,8.333333333,8.333333333,18.18181818,
146,3,l,ELS,Female,2,0,83.33333333,66.66666667,,,,,,8.333333333,8.333333333,18.18181818,
147,3,l,NS,Male,10,0,66.66666667,8.333333333,8.333333333,66.66666667,16.66666667,8.333333333,0,25,41.66666667,41.66666667,
148,3,l,NS,Male,10,0,50,0,0,0,0,0,0,8.333333333,0,0,
149,3,l,NS,Male,10,0,100,33.33333333,33.33333333,58.33333333,25,8.333333333,16.66666667,0,8.333333333,33.33333333,
150,3,h,ELS,Male,10,33.33333333,83.33333333,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,50,16.66666667,41.66666667,16.66666667,
151,4,h,ELS,Male,10,0,100,100,100,91.66666667,58.33333333,41.66666667,50,58.33333333,66.66666667,33.33333333,
152,4,h,NS,Female,10,0,66.66666667,25,25,16.66666667,16.66666667,16.66666667,16.66666667,8.333333333,0,0,
153,3,h,NS,Female,10,0,83.33333333,8.333333333,8.333333333,0,8.333333333,0,0,0,0,0,
154,3,h,ELS,Male,2,0,100,100,,,,,,91.66666667,75,58.33333333,
155,4,h,ELS,Male,2,0,83.33333333,33.33333333,,,,,,41.66666667,41.66666667,33.33333333,
156,4,l,ELS,Female,10,0,66.66666667,25,25,33.33333333,16.66666667,8.333333333,8.333333333,0,16.66666667,8.333333333,
157,4,l,ELS,Female,10,0,100,33.33333333,33.33333333,0,0,8.333333333,0,0,8.333333333,0,
158,4,l,NS,Female,10,0,33.33333333,0,0,0,0,0,0,0,33.33333333,0,
159,3,l,NS,Female,10,0,66.66666667,0,0,0,8.333333333,25,0,0,0,8.333333333,
160,3,l,ELS,Female,2,0,83.33333333,41.66666667,,,,,,0,16.66666667,16.66666667,
161,4,l,ELS,Female,2,0,83.33333333,41.66666667,,,,,,8.333333333,0,0,
162,4,h,NS,Male,2,0,100,83.33333333,,,,,,41.66666667,8.333333333,50,
163,4,h,NS,Male,2,0,50,25,,,,,,33.33333333,25,0,
164,4,h,NS,Male,2,0,66.66666667,41.66666667,,,,,,33.33333333,37.5,50,
165,4,l,ELS,Female,2,0,16.66666667,0,,,,,,8.333333333,8.333333333,33.33333333,
166,4,l,ELS,Female,2,0,83.33333333,0,,,,,,16.66666667,0,0,
167,4,h,NS,Female,10,0,66.66666667,0,0,8.333333333,0,8.333333333,0,0,0,0,
168,4,h,NS,Female,10,0,33.33333333,25,25,33.33333333,33.33333333,16.66666667,0,8.333333333,0,0,
169,4,l,NS,Male,2,0,66.66666667,50,,,,,,33.33333333,41.66666667,50,
170,,l,NS,Male,2,0,100,100,,,,,,50,50,25,
171,,l,NS,Male,2,8.333333333,66.66666667,27.27272727,,,,,,0,0,33.33333333,
172,,l,NS,Male,2,0,83.33333333,27.27272727,,,,,,75,41.66666667,25,
173,,l,NS,Male,2,0,50,36.36363636,,,,,,8.333333333,33.33333333,25,
174,,l,NS,Male,2,0,83.33333333,63.63636364,,,,,,8.333333333,25,16.66666667,
175,,h,NS,Male,10,0,NA,58.33333333,58.33333333,33.33333333,25,25,8.333333333,25,0,0,
