"","Shock","Stress","Sex","Condition","ID","timepoint","percentage"
"206","h","NS","Male","10","42","ext1_curve",8.333333333
"207","h","NS","Male","10","42","ext2_curve",0
"208","h","NS","Male","10","42","ext3_curve",0
"209","h","NS","Male","10","42","ext4_curve",0
"210","h","NS","Male","10","42","ext5_curve",8.333333333
"211","h","NS","Male","10","43","ext1_curve",83.33333333
"212","h","NS","Male","10","43","ext2_curve",83.33333333
"213","h","NS","Male","10","43","ext3_curve",91.66666667
"214","h","NS","Male","10","43","ext4_curve",41.66666667
"215","h","NS","Male","10","43","ext5_curve",8.333333333
"216","h","NS","Male","10","44","ext1_curve",8.333333333
"217","h","NS","Male","10","44","ext2_curve",8.333333333
"218","h","NS","Male","10","44","ext3_curve",8.333333333
"219","h","NS","Male","10","44","ext4_curve",0
"220","h","NS","Male","10","44","ext5_curve",0
"221","h","NS","Male","10","45","ext1_curve",33.33333333
"222","h","NS","Male","10","45","ext2_curve",0
"223","h","NS","Male","10","45","ext3_curve",58.33333333
"224","h","NS","Male","10","45","ext4_curve",66.66666667
"225","h","NS","Male","10","45","ext5_curve",23.07692308
"226","h","NS","Male","10","46","ext1_curve",66.66666667
"227","h","NS","Male","10","46","ext2_curve",41.66666667
"228","h","NS","Male","10","46","ext3_curve",16.66666667
"229","h","NS","Male","10","46","ext4_curve",58.33333333
"230","h","NS","Male","10","46","ext5_curve",23.07692308
"231","h","ELS","Male","10","47","ext1_curve",66.66666667
"232","h","ELS","Male","10","47","ext2_curve",50
"233","h","ELS","Male","10","47","ext3_curve",0
"234","h","ELS","Male","10","47","ext4_curve",0
"235","h","ELS","Male","10","47","ext5_curve",0
"236","h","ELS","Male","10","48","ext1_curve",50
"237","h","ELS","Male","10","48","ext2_curve",58.33333333
"238","h","ELS","Male","10","48","ext3_curve",25
"239","h","ELS","Male","10","48","ext4_curve",50
"240","h","ELS","Male","10","48","ext5_curve",46.15384615
"241","h","ELS","Male","10","49","ext1_curve",91.66666667
"242","h","ELS","Male","10","49","ext2_curve",83.33333333
"243","h","ELS","Male","10","49","ext3_curve",66.66666667
"244","h","ELS","Male","10","49","ext4_curve",66.66666667
"245","h","ELS","Male","10","49","ext5_curve",30.76923077
"246","h","NS","Female","10","50","ext1_curve",50
"247","h","NS","Female","10","50","ext2_curve",8.333333333
"248","h","NS","Female","10","50","ext3_curve",33.33333333
"249","h","NS","Female","10","50","ext4_curve",16.66666667
"250","h","NS","Female","10","50","ext5_curve",46.15384615
"251","h","NS","Female","10","51","ext1_curve",33.33333333
"252","h","NS","Female","10","51","ext2_curve",41.66666667
"253","h","NS","Female","10","51","ext3_curve",16.66666667
"254","h","NS","Female","10","51","ext4_curve",16.66666667
"255","h","NS","Female","10","51","ext5_curve",7.692307692
"256","h","NS","Female","10","52","ext1_curve",23.07692308
"257","h","NS","Female","10","52","ext2_curve",0
"258","h","NS","Female","10","52","ext3_curve",0
"259","h","NS","Female","10","52","ext4_curve",0
"260","h","NS","Female","10","52","ext5_curve",0
"261","h","NS","Female","10","53","ext1_curve",38.46153846
"262","h","NS","Female","10","53","ext2_curve",25
"263","h","NS","Female","10","53","ext3_curve",8.333333333
