"","Shock","Stress","Sex","Condition","Pre","Post","recall_1","ext1_curve","ext2_curve","ext3_curve","ext4_curve","ext5_curve","extinction_recall","reminder_day1_shock","reminder_day2"
"138","h","NS","Male","2",0,66.66666667,66.66666667,NA,NA,NA,NA,NA,7.692307692,27.27272727,15.38461538
"139","h","NS","Male","2",0,66.66666667,66.66666667,NA,NA,NA,NA,NA,30.76923077,45.45454545,38.46153846
"140","h","NS","Male","2",0,66.66666667,75,NA,NA,NA,NA,NA,53.84615385,9.090909091,15.38461538
"141","h","NS","Male","2",7.692307692,66.66666667,91.66666667,NA,NA,NA,NA,NA,15.38461538,7.692307692,46.15384615
"142","h","NS","Male","2",0,100,91.66666667,NA,NA,NA,NA,NA,15.38461538,38.46153846,30.76923077
"143","h","NS","Female","2",0,83.33333333,66.66666667,NA,NA,NA,NA,NA,30.76923077,23.07692308,38.46153846
"144","h","NS","Female","2",0,66.66666667,50,NA,NA,NA,NA,NA,30.76923077,46.15384615,15.38461538
"145","h","NS","Female","2",0,50,83.33333333,NA,NA,NA,NA,NA,15.38461538,15.38461538,15.38461538
"146","h","ELS","Male","2",7.692307692,100,41.66666667,NA,NA,NA,NA,NA,30.76923077,46.15384615,30.76923077
"147","h","ELS","Male","2",7.692307692,83.33333333,58.33333333,NA,NA,NA,NA,NA,53.84615385,7.692307692,15.38461538
"148","h","ELS","Male","2",7.692307692,100,58.33333333,NA,NA,NA,NA,NA,30.76923077,15.38461538,46.15384615
"149","h","NS","Female","2",0,83.33333333,53.84615385,NA,NA,NA,NA,NA,15.38461538,38.46153846,46.15384615
"150","h","NS","Female","2",15.38461538,100,15.38461538,NA,NA,NA,NA,NA,46.15384615,15.38461538,46.15384615
"151","h","NS","Female","2",0,83.33333333,30.76923077,NA,NA,NA,NA,NA,23.07692308,30.76923077,15.38461538
"152","h","NS","Female","2",0,66.66666667,15.38461538,NA,NA,NA,NA,NA,23.07692308,30.76923077,0
