Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2
l,NS,Male,2,8.333333333,66.66666667,27.27272727,,,,,,0,0,33.33333333
l,NS,Male,2,0,83.33333333,27.27272727,,,,,,75,41.66666667,25
l,NS,Male,2,0,50,36.36363636,,,,,,8.333333333,33.33333333,25
l,NS,Male,2,0,83.33333333,63.63636364,,,,,,8.333333333,25,16.66666667
h,NS,Male,10,0,,58.33333333,58.33333333,33.33333333,25,25,8.333333333,25,0,0
h,NS,Male,10,8.333333333,83.33333333,91.66666667,91.66666667,100,100,83.33333333,75,75,75,66.66666667
h,NS,Female,2,0,33.33333333,8.333333333,,,,,,27.27272727,8.333333333,0
h,NS,Female,2,0,33.33333333,0,,,,,,18.18181818,0,0
h,NS,Female,2,0,16.66666667,25,,,,,,0,0,0
h,NS,Female,2,0,83.33333333,81.81818182,,,,,,33.33333333,33.33333333,18.18181818
h,NS,Female,2,0,50,0,,,,,,8.333333333,0,9.090909091
h,NS,Female,2,0,66.66666667,75,,,,,,16.66666667,16.66666667,8.333333333
l,ELS,Male,2,0,50,0,,,,,,8.333333333,8.333333333,0
l,ELS,Male,2,0,66.66666667,91.66666667,,,,,,58.33333333,41.66666667,50
h,ELS,Female,2,8.333333333,100,91.66666667,,,,,,58.33333333,16.66666667,50
h,ELS,Female,2,0,83.33333333,41.66666667,,,,,,25,16.66666667,0
h,ELS,Female,2,0,66.66666667,58.33333333,,,,,,16.66666667,16.66666667,0
h,ELS,Female,2,0,33.33333333,66.66666667,,,,,,16.66666667,0,25
h,ELS,Female,2,0,66.66666667,100,,,,,,16.66666667,25,8.333333333
h,ELS,Female,2,0,100,8.333333333,,,,,,0,41.66666667,25
h,ELS,Female,10,0,66.66666667,91.66666667,91.66666667,91.66666667,58.33333333,75,8.333333333,41.66666667,15.38461538,33.33333333
h,ELS,Female,10,0,0,8.333333333,8.333333333,8.333333333,0,8.333333333,0,0,0,8.333333333
l,ELS,Male,10,0,83.33333333,58.33333333,58.33333333,25,25,8.333333333,0,8.333333333,15.38461538,16.66666667
l,ELS,Male,10,0,100,91.66666667,91.66666667,75,25,33.33333333,33.33333333,41.66666667,7.692307692,25
l,ELS,Male,10,0,83.33333333,0,0,0,0,50,0,0,0,16.66666667
l,ELS,Male,10,8.333333333,100,16.66666667,16.66666667,8.333333333,0,0,0,36.36363636,0,8.333333333
